"","age","Sex","Degree","Race","Grass","Life","Tax","Mode"
"164","39","Female","JC","White","Yes","Very satisfied","High","In Person"
"165","50","Female","JC","Black","Yes","Pretty satisfied","High","In Person"
"166","66","Male","HS","White","Yes","Pretty satisfied","High","In Person"
"167","56","Male","Bachelor","White","Yes","Very satisfied","High","In Person"
"168","67","Male","HS","White","No","Very satisfied","High","In Person"
"169","45","Female","HS","Black","Yes","Pretty satisfied","High","In Person"
"170","43","Female","HS","White","Yes","Pretty satisfied","High","Phone"
"171","77","Male","HS","White","Yes","Not too satisfied","High","In Person"
"172","56","Male","Bachelor","White","Yes","Pretty satisfied","Low","Phone"
"173","69","Male","Bachelor","White","Yes","Very satisfied","High","In Person"
"174","58","Male","HS","Black","No","Very satisfied","High","In Person"
"175","40","Female","Bachelor","White","Yes","Pretty satisfied","High","In Person"
"176","69","Female","HS","White","Yes","Pretty satisfied","OK","In Person"
"177","71","Female","HS","Black","No","Very satisfied","High","In Person"
"178","86","Male","HS","White","Yes","Not too satisfied","High","In Person"
"179","62","Male","HS","White","No","Pretty satisfied","High","In Person"
"180","29","Male","HS","White","Yes","Pretty satisfied","High","Phone"
"181","40","Female","HS","Black","Yes","Very satisfied","High","In Person"
"182","28","Male","HS","White","Yes","Pretty satisfied","High","Web"
"183","63","Male","HS","White","Yes","Very satisfied","OK","Phone"
"184","40","Male","HS","Black","Yes","Pretty satisfied","High","In Person"
"185","43","Female","No HS","Black","Yes","Pretty satisfied","High","In Person"
"186","51","Male","HS","White","Yes","Very satisfied","High","In Person"
"187","69","Male","HS","White","Yes","Pretty satisfied","High","In Person"
"188","55","Female","Bachelor","White","No","Very satisfied","High","Phone"
"189","59","Male","HS","White","Yes","Very satisfied","High","In Person"
"190","33","Male","Bachelor","Other","No","Very satisfied","High","In Person"
"191","71","Female","HS","Black","Yes","Very satisfied","OK","Phone"
"192","83","Female","Graduate","White","Yes","Not too satisfied","High","In Person"
"193","68","Female","HS","White","No","Very satisfied","High","In Person"
"194","76","Female","HS","Black","No","Pretty satisfied","High","In Person"
"195","75","Male","JC","White","Yes","Pretty satisfied","High","In Person"
"196","34","Male","Bachelor","White","Yes","Pretty satisfied","High","In Person"
"197","19","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"198","21","Male","HS","Other","Yes","Pretty satisfied","High","In Person"
"199","64","Male","Bachelor","Black","Yes","Pretty satisfied","High","In Person"
"200","37","Male","Bachelor","Black","Yes","Very satisfied","High","In Person"
"201","56","Female","HS","Black","Yes","Pretty satisfied","OK","In Person"
"202","33","Male","HS","Other","Yes","Pretty satisfied","High","In Person"
"203","55","Male","JC","Black","No","Pretty satisfied","High","In Person"
"204","20","Male","JC","White","Yes","Pretty satisfied","High","Web"
"205","39","Male","HS","White","Yes","Pretty satisfied","High","In Person"
"206","24","Female","HS","Other","Yes","Pretty satisfied","OK","In Person"
"207","29","Female","JC","Other","No","Pretty satisfied","Low","Web"
"208","49","Female","HS","White","Yes","Pretty satisfied","OK","Phone"
"209","77","Male","Graduate","White","Yes","Very satisfied","Low","In Person"
"210","48","Female","Bachelor","White","No","Pretty satisfied","High","In Person"
"211","76","Male","HS","Other","Yes","Very satisfied","High","In Person"
"212","26","Male","JC","Other","Yes","Very satisfied","High","In Person"
"213","61","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"214","64","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"215","46","Male","HS","White","Yes","Pretty satisfied","High","In Person"
"216","47","Female","JC","Black","Yes","Not too satisfied","OK","In Person"
"217","66","Male","HS","White","No","Very satisfied","High","In Person"
"218","75","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"219","36","Female","HS","White","Yes","Pretty satisfied","High","Web"
"220","57","Female","No HS","White","No","Very satisfied","OK","In Person"
"221","66","Female","Bachelor","White","Yes","Very satisfied","OK","Phone"
"222","89","Male","Graduate","White","Yes","Not too satisfied","OK","Phone"
"223","67","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"224","76","Female","No HS","White","Yes","Pretty satisfied","High","In Person"
"225","85","Female","Bachelor","White","Yes","Very satisfied","OK","In Person"
"226","64","Male","HS","White","Yes","Pretty satisfied","High","In Person"
"227","34","Male","Bachelor","White","Yes","Very satisfied","OK","In Person"
"228","66","Male","HS","White","Yes","Pretty satisfied","OK","In Person"
"229","29","Male","HS","White","No","Not too satisfied","OK","In Person"
"230","39","Female","No HS","White","Yes","Pretty satisfied","Low","In Person"
"231","58","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"232","38","Female","No HS","White","Yes","Very satisfied","Low","In Person"
"233","53","Female","Graduate","White","Yes","Very satisfied","High","In Person"
"234","27","Female","Bachelor","White","No","Pretty satisfied","High","Web"
"235","73","Female","HS","White","Yes","Pretty satisfied","OK","In Person"
"236","67","Female","Bachelor","White","Yes","Pretty satisfied","High","In Person"
"237","45","Male","HS","Other","Yes","Pretty satisfied","High","In Person"
"238","71","Female","JC","White","Yes","Pretty satisfied","High","In Person"
"239","29","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"240","76","Female","No HS","Black","No","Very satisfied","Low","Phone"
"241","85","Male","HS","White","No","Pretty satisfied","High","In Person"
"242","65","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"243","43","Male","No HS","White","Yes","Pretty satisfied","High","In Person"
"244","24","Female","HS","Black","Yes","Pretty satisfied","High","In Person"
"245","21","Male","HS","White","Yes","Pretty satisfied","High","Phone"
"246","67","Male","JC","Other","Yes","Pretty satisfied","OK","In Person"
"247","82","Male","HS","White","No","Very satisfied","High","In Person"
"248","50","Female","HS","Black","Yes","Very satisfied","High","In Person"
"249","28","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"250","72","Female","HS","White","No","Pretty satisfied","High","In Person"
"251","47","Male","HS","White","Yes","Pretty satisfied","High","Web"
"252","42","Male","HS","White","Yes","Very satisfied","High","In Person"
"253","73","Female","HS","White","No","Pretty satisfied","High","In Person"
"254","62","Female","Graduate","White","Yes","Very satisfied","OK","In Person"
"255","58","Male","HS","White","Yes","Very satisfied","OK","In Person"
"256","84","Female","No HS","White","No","Pretty satisfied","High","In Person"
"257","73","Female","HS","White","Yes","Very satisfied","High","In Person"
"258","80","Female","Bachelor","White","No","Very satisfied","OK","Phone"
"259","65","Female","HS","White","No","Very satisfied","High","Phone"
"260","38","Male","JC","White","Yes","Pretty satisfied","OK","In Person"
"261","32","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"262","61","Female","HS","Black","Yes","Not too satisfied","High","In Person"
"263","23","Female","HS","Black","No","Pretty satisfied","High","In Person"
"264","55","Male","HS","Black","No","Very satisfied","High","In Person"
"265","76","Female","HS","White","No","Not too satisfied","High","Phone"
"266","75","Female","No HS","Black","No","Very satisfied","High","Phone"
"267","38","Female","HS","Black","Yes","Pretty satisfied","High","In Person"
"268","69","Female","HS","White","No","Very satisfied","High","Phone"
"269","64","Female","HS","Black","Yes","Not too satisfied","High","In Person"
"270","31","Male","No HS","White","Yes","Not too satisfied","High","In Person"
"271","61","Female","Bachelor","White","Yes","Pretty satisfied","OK","In Person"
"272","79","Female","HS","White","No","Very satisfied","High","In Person"
"273","54","Male","Graduate","White","Yes","Very satisfied","High","In Person"
"274","32","Male","Graduate","White","No","Pretty satisfied","Low","In Person"
"275","86","Male","HS","White","No","Pretty satisfied","High","Phone"
"276","62","Female","Graduate","White","Yes","Very satisfied","High","In Person"
"277","89","Female","No HS","Black","No","Pretty satisfied","OK","In Person"
"278","19","Female","HS","White","Yes","Very satisfied","High","In Person"
"279","53","Male","No HS","Black","Yes","Not too satisfied","High","In Person"
"280","40","Male","No HS","Black","No","Pretty satisfied","OK","In Person"
"281","66","Female","HS","Other","No","Very satisfied","High","Phone"
"282","24","Male","HS","Black","Yes","Pretty satisfied","OK","In Person"
"283","49","Female","HS","Black","No","Very satisfied","High","In Person"
"284","59","Male","HS","Black","Yes","Very satisfied","OK","In Person"
"285","55","Male","HS","Black","Yes","Very satisfied","High","In Person"
"286","41","Female","HS","Black","Yes","Very satisfied","High","In Person"
"287","28","Female","HS","Black","Yes","Very satisfied","OK","In Person"
"288","22","Female","JC","Black","Yes","Pretty satisfied","High","In Person"
"289","70","Male","Bachelor","White","Yes","Very satisfied","Low","In Person"
"290","57","Male","HS","Other","Yes","Very satisfied","High","In Person"
"291","44","Male","HS","Black","Yes","Very satisfied","High","Phone"
"292","46","Female","Bachelor","White","Yes","Not too satisfied","High","In Person"
"293","22","Female","No HS","White","Yes","Not too satisfied","Low","In Person"
"294","53","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"295","70","Male","HS","Other","Yes","Very satisfied","High","Phone"
"296","41","Male","JC","White","Yes","Pretty satisfied","High","In Person"
"297","69","Female","HS","White","Yes","Pretty satisfied","OK","In Person"
"298","33","Female","JC","White","Yes","Pretty satisfied","High","In Person"
"299","59","Female","Bachelor","White","No","Very satisfied","High","In Person"
"300","76","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"301","44","Male","Bachelor","Other","No","Very satisfied","OK","In Person"
"302","36","Male","Bachelor","White","Yes","Very satisfied","OK","In Person"
"303","64","Male","JC","Other","No","Very satisfied","OK","In Person"
"304","63","Male","HS","Black","Yes","Pretty satisfied","High","Web"
"305","26","Female","HS","Black","Yes","Pretty satisfied","High","Web"
"306","30","Female","JC","Black","Yes","Very satisfied","High","In Person"
"307","81","Female","HS","Black","Yes","Pretty satisfied","High","In Person"
"308","18","Male","HS","White","No","Pretty satisfied","OK","Web"
"309","65","Female","HS","White","Yes","Very satisfied","High","Phone"
"310","76","Male","Graduate","White","Yes","Very satisfied","High","In Person"
"311","89","Male","Bachelor","White","No","Pretty satisfied","High","In Person"
"312","49","Male","HS","White","Yes","Very satisfied","OK","In Person"
"313","34","Male","Bachelor","White","No","Very satisfied","High","In Person"
"314","75","Female","HS","White","No","Pretty satisfied","High","In Person"
"315","62","Male","Bachelor","White","Yes","Very satisfied","High","In Person"
"316","47","Male","HS","Other","Yes","Very satisfied","High","In Person"
"317","84","Male","Graduate","White","No","Very satisfied","High","In Person"
"318","69","Male","No HS","White","No","Pretty satisfied","High","Phone"
"319","42","Female","HS","Black","Yes","Pretty satisfied","High","In Person"
"320","50","Male","HS","Other","Yes","Pretty satisfied","High","In Person"
"321","64","Male","JC","Other","No","Pretty satisfied","High","Phone"
"322","29","Female","No HS","White","No","Very satisfied","OK","Web"
"323","34","Female","No HS","Black","No","Pretty satisfied","High","In Person"
"324","49","Male","No HS","Black","No","Pretty satisfied","High","In Person"
"325","70","Female","HS","White","Yes","Pretty satisfied","High","Phone"
"326","66","Male","HS","White","No","Pretty satisfied","High","Phone"
"327","74","Female","HS","White","No","Pretty satisfied","High","In Person"
"328","44","Male","HS","Other","Yes","Very satisfied","OK","In Person"
"329","51","Female","HS","Black","No","Very satisfied","High","In Person"
"330","42","Female","Bachelor","Black","Yes","Pretty satisfied","High","In Person"
"331","45","Female","JC","Black","No","Very satisfied","OK","In Person"
"332","25","Male","HS","Black","Yes","Pretty satisfied","High","In Person"
"333","26","Female","Bachelor","White","Yes","Pretty satisfied","High","In Person"
"334","27","Male","HS","Black","Yes","Pretty satisfied","High","In Person"
"335","30","Female","No HS","White","No","Very satisfied","High","In Person"
"336","68","Male","No HS","White","Yes","Very satisfied","High","Phone"
"337","42","Male","HS","Other","Yes","Very satisfied","High","In Person"
"338","22","Female","HS","White","Yes","Very satisfied","High","Phone"
"339","72","Male","Bachelor","White","Yes","Very satisfied","OK","In Person"
"340","33","Male","JC","White","Yes","Very satisfied","High","In Person"
"341","44","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"342","62","Male","HS","White","Yes","Pretty satisfied","OK","In Person"
"343","67","Female","Bachelor","White","Yes","Very satisfied","High","In Person"
"344","55","Female","Graduate","White","No","Very satisfied","OK","In Person"
"345","49","Male","JC","White","No","Very satisfied","High","In Person"
"346","76","Male","Graduate","White","No","Very satisfied","OK","In Person"
"347","79","Male","HS","White","Yes","Pretty satisfied","High","Phone"
"348","30","Female","No HS","White","Yes","Pretty satisfied","High","Phone"
"349","69","Male","HS","White","Yes","Pretty satisfied","OK","In Person"
"350","24","Female","JC","Black","Yes","Not too satisfied","OK","In Person"
"351","31","Female","JC","White","Yes","Pretty satisfied","High","In Person"
"352","63","Male","HS","White","Yes","Very satisfied","OK","In Person"
"353","34","Female","HS","White","Yes","Very satisfied","High","In Person"
"354","63","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"355","54","Female","JC","White","No","Pretty satisfied","High","In Person"
"356","64","Male","JC","Other","Yes","Pretty satisfied","High","In Person"
"357","32","Male","HS","White","No","Very satisfied","OK","In Person"
"358","46","Male","HS","White","Yes","Very satisfied","High","In Person"
"359","83","Female","Graduate","White","Yes","Pretty satisfied","OK","In Person"
"360","67","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"361","89","Female","HS","White","No","Pretty satisfied","OK","Phone"
"362","61","Male","Graduate","White","Yes","Pretty satisfied","High","Phone"
"363","67","Male","HS","White","Yes","Very satisfied","OK","In Person"
"364","55","Male","Bachelor","White","No","Pretty satisfied","High","Phone"
"365","69","Female","JC","White","Yes","Very satisfied","OK","In Person"
"366","60","Female","Graduate","White","Yes","Very satisfied","OK","In Person"
"367","78","Male","Bachelor","White","Yes","Pretty satisfied","OK","In Person"
"368","33","Female","Bachelor","White","No","Very satisfied","High","In Person"
"369","26","Male","HS","White","Yes","Very satisfied","OK","In Person"
"370","43","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"371","18","Female","No HS","White","Yes","Pretty satisfied","High","In Person"
"372","32","Male","HS","Black","Yes","Pretty satisfied","High","In Person"
"373","23","Female","HS","Black","Yes","Pretty satisfied","High","In Person"
"374","38","Male","No HS","Black","Yes","Pretty satisfied","High","In Person"
"375","75","Male","HS","Black","Yes","Not too satisfied","High","In Person"
"376","73","Female","No HS","Black","Yes","Very satisfied","OK","In Person"
"377","52","Male","HS","Black","Yes","Pretty satisfied","High","In Person"
"378","61","Female","No HS","Black","No","Very satisfied","High","In Person"
"379","39","Male","HS","Black","Yes","Pretty satisfied","High","In Person"
"380","50","Female","HS","Black","Yes","Pretty satisfied","High","In Person"
"381","44","Female","Bachelor","Black","Yes","Very satisfied","High","In Person"
"382","63","Male","JC","Black","Yes","Pretty satisfied","High","In Person"
"383","42","Male","HS","Black","Yes","Very satisfied","High","In Person"
"384","64","Male","No HS","Black","No","Pretty satisfied","High","In Person"
"385","48","Male","No HS","Black","Yes","Very satisfied","High","Phone"
"386","76","Female","Bachelor","White","Yes","Pretty satisfied","OK","Web"
"387","29","Female","HS","White","Yes","Pretty satisfied","High","In Person"
"388","46","Male","HS","White","Yes","Very satisfied","OK","In Person"
